ContigName	GO
c_sym_1553	No_GO
c_sym_1557	GO:0042995;GO:0005737;GO:0016020;GO:0016308;GO:0005524;GO:0005515
c_sym_1558	GO:0016021;GO:0005524;GO:0015662;GO:0046872;GO:0006812
c_sym_1559	No_GO
c_sym_1562	GO:0016021;GO:0005743;GO:0005524;GO:0017111
c_sym_1563	GO:0016021;GO:0007154;GO:0055085
c_sym_1564	No_GOcodes
c_sym_1568	No_GO
c_sym_1574	No_GO
c_sym_1577	No_GO
c_sym_1581	GO:0005737;GO:0005874;GO:0005524;GO:0003777;GO:0007018
c_sym_1584	GO:0005829;GO:0005524;GO:0016887;GO:0003746
c_sym_1586	No_GO
c_sym_1590	No_GO
c_sym_1591	No_GO
c_sym_1594	GO:0005634;GO:0005524;GO:0008026;GO:0003676;GO:0006397;GO:0008380
c_sym_1596	GO:0004151;GO:0046872;GO:0019856;GO:0006221
c_sym_1603	No_GO
c_sym_1615	No_GO
c_sym_1617	GO:0005739;GO:0005634
c_sym_1624	GO:0006397;GO:0008380
c_sym_1630	No_GO
c_sym_1632	No_GO
c_sym_1635	GO:0005634;GO:0005515;GO:0071472;GO:0042631
c_sym_1638	No_GO
c_sym_1639	No_GO
c_sym_1640	No_GO
c_sym_1642	GO:0008893;GO:0046872;GO:0015969
c_sym_1643	No_GO
c_sym_1646	No_GO
c_sym_1650	No_GO
c_sym_1654	No_GO
c_sym_1664	No_GOcodes
c_sym_1668	No_GO
c_sym_1671	GO:0016021;GO:0008270
c_sym_1677	GO:0005737;GO:0031261;GO:0042555;GO:0005656;GO:0031298;GO:0005524;GO:0003688;GO:0009378;GO:0005515;GO:0003697;GO:0006271;GO:0006268;GO:0006270;GO:0000727;GO:0006267;GO:0000084
c_sym_1679	No_GO
c_sym_1686	GO:0045335;GO:0005524;GO:0004356;GO:0006807;GO:0009617
c_sym_1688	GO:0005829;GO:0005886;GO:0005524;GO:0005509;GO:0005515;GO:0004674;GO:0009738;GO:0046777;GO:0010359;GO:0010119
c_sym_1690	No_GOcodes
c_sym_1691	No_GO
c_sym_1697	No_GO
c_sym_1699	No_GO
c_sym_1704	GO:0005681;GO:0005525;GO:0003924;GO:0006397;GO:0008380
c_sym_1707	GO:0035085;GO:0005737;GO:0030286;GO:0005874;GO:0005524;GO:0003777;GO:0007018
c_sym_1709	No_GO
